1 Gender,2 Country of residence,3 University,4 Where do you live? ,5 Grade,"6 I consider myself a tech-savvy (well informed about or proficient in the use of modern technology, especially computers)",7 I have an understanding of the basic computational principles of artificial intelligence (AI),8 I am comfortable with the nomenclature related to artificial intelligence,9 I have an understanding of the limitations of artificial intelligence,10 Deep Learning’ and ‘Artificial Intelligence’ are currently being broadly discussed in the radiological community. [Were you already aware of these topics in radiology?],11 Deep Learning’ and ‘Artificial Intelligence’ are currently being broadly discussed in the radiological community. [Do you personally have a basic understanding of the technologies used in these topics?],12 Your exposure to artificial intelligence includes: (Please select all that apply),"13 The following questions test your understanding of deep learning, a subtype of artificial intelligence.  [Deep learning is a class of machine learning algorithms that use multiple layers of neural networks.]","14 The following questions test your understanding of deep learning, a subtype of artificial intelligence.  [Deep learning methods learn directly from data, without the need for manual feature extraction.]","15 The following questions test your understanding of deep learning, a subtype of artificial intelligence.  [Application of deep learning in radiology requires large databases of labeled medical images.]","16 The following questions test your understanding of deep learning, a subtype of artificial intelligence.  [Deep learning systems are often opaque: it can be difficult to delineate the underlying ""thought process"".]",17 Feelings and attitudes towards artificial intelligence and deep learning in medicine and radiology  [Artificial intelligence will revolutionize radiology],18 Feelings and attitudes towards artificial intelligence and deep learning in medicine and radiology  [Artificial intelligence will revolutionize medicine in general],19 Feelings and attitudes towards artificial intelligence and deep learning in medicine and radiology  [The human radiologist will be replaced in the foreseeable future],20 Feelings and attitudes towards artificial intelligence and deep learning in medicine and radiology  [The human (non-interventional) physician will be replaced in the foreseeable future],"21 Feelings and attitudes towards artificial intelligence and deep learning in medicine and radiology  [In the foreseeable future, all physicians will be replaced]",22 Feelings and attitudes towards artificial intelligence and deep learning in medicine and radiology  [These developments frighten me],23 Feelings and attitudes towards artificial intelligence and deep learning in medicine and radiology  [These developments make radiology more exciting to me],24 Feelings and attitudes towards artificial intelligence and deep learning in medicine and radiology  [These developments make medicine in general more exciting to me],25 Feelings and attitudes towards artificial intelligence and deep learning in medicine and radiology  [Artificial intelligence will never make the human physician expendable],26 Feelings and attitudes towards artificial intelligence and deep learning in medicine and radiology  [The impact of artificial intelligence alone will reduce the number of radiologists that are needed.],27 Feelings and attitudes towards artificial intelligence and deep learning in medicine and radiology  [Artificial intelligence will improve radiology],28 Feelings and attitudes towards artificial intelligence and deep learning in medicine and radiology  [Artificial intelligence will improve medicine in general],"29 Feelings and attitudes towards artificial intelligence and deep learning in medicine and radiology  [I am less likely to consider a career in radiology, given the advancement of AI]",30 Which of these specialties do you think will be impacted the earliest and most?,31 All medical students should receive teaching in artificial intelligence,32 Teaching in artificial intelligence will be beneficial for my career,"33 At the end of my medical degree, I will be confident in using basic healthcare AI tools if required","34 At the end of my medical degree, I will have a better understanding of the methods used to assess healthcare AI algorithm performance","35 Overall, at the end of my medical degree, I feel I will possess the knowledge needed to work with AI in routine clinical practice",36 Would you consider using the following clinical workflow? Patients' clinical images undergo artificial intelligence analysis. A specialist subsequently reviews both the image and the artificial intelligence findings.,37 What potential applications for AI in radiology do you see? [Automated detection of pathologies in imaging exams],38 What potential applications for AI in radiology do you see? [Automated diagnosis in imaging exams],39 What potential applications for AI in radiology do you see? [Automated indication of appropriate imaging exams],40 I have received teaching/training in artificial intelligence,41 Was this teaching/training a compulsory part of your medical degree?,42 Please rate the usefulness of the teaching/training you have received
Female,Iraq,Governnmental,Urban,1,3,4,3,2,No,Yes,None of the above,I don't know,I don't know,I don't know,I don't know,Strongly agree,Strongly agree,Neutral,Disagree,Strongly disagree,Neutral,Agree,Agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Neutral,Oncology,5,5,5,5,5,Yes,Strongly agree,Neutral,Agree,No,,
Male,Iraq,Governnmental,Urban,3,3,2,1,2,No,No,None of the above,I don't know,I don't know,I don't know,I don't know,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Diagnostic radiology,5,1,1,1,2,No,Strongly agree,Agree,Strongly agree,No,,
Female,Libya,Governnmental,Urban,Intern (Emtyaz),2,3,3,3,No,No,None of the above,I don't know,I don't know,I don't know,I don't know,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Diagnostic radiology,1,4,3,3,3,No,Neutral,Neutral,Neutral,No,,
Female,Iraq,Governnmental,Urban,2,1,1,1,1,No,No,None of the above,I don't know,TRUE,TRUE,I don't know,Agree,Agree,Agree,Disagree,Neutral,Agree,Agree,Strongly agree,Neutral,Agree,Agree,Agree,Agree,Oncology,3,5,3,2,2,Unsure,Strongly agree,Strongly agree,Strongly agree,No,,
Male,Iraq,Governnmental,Rural,2,2,1,1,1,No,No,None of the above,TRUE,FALSE,I don't know,TRUE,Neutral,Agree,Agree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Neutral,Agree,Disagree,Agree,Diagnostic radiology,1,5,5,5,5,Yes,Agree,Agree,Agree,No,,
Female,Iraq,Governnmental,Rural,2,1,1,1,1,No,No,None of the above,I don't know,FALSE,I don't know,I don't know,Neutral,Neutral,Disagree,Strongly disagree,Strongly disagree,Neutral,Disagree,Strongly agree,Neutral,Agree,Strongly disagree,Neutral,Strongly disagree,Diagnostic radiology,3,3,4,3,3,No,Strongly agree,Strongly disagree,Agree,No,,
Male,Iraq,Governnmental,Rural,2,1,5,5,5,No,No,None of the above,I don't know,I don't know,I don't know,TRUE,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Surgery,5,5,5,5,5,Unsure,Neutral,Neutral,Neutral,No,,
Female,Iraq,Governnmental,Urban,2,3,1,1,1,No,No,None of the above,I don't know,I don't know,I don't know,I don't know,Neutral,Neutral,Disagree,Disagree,Disagree,Neutral,Neutral,Agree,Neutral,Disagree,Agree,Neutral,Strongly disagree,Pathology,3,3,3,3,3,Yes,Strongly agree,Agree,Neutral,No,,
Female,Iraq,Governnmental,Urban,2,3,3,2,4,No,No,None of the above,TRUE,I don't know,I don't know,I don't know,Strongly agree,Strongly agree,Neutral,Disagree,Strongly disagree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly disagree,Surgery,3,3,3,3,3,Unsure,Strongly agree,Strongly agree,Strongly disagree,No,,
Female,Iraq,Governnmental,Urban,2,3,2,2,4,No,No,Computer science projects involving artificial intelligence,TRUE,FALSE,TRUE,TRUE,Agree,Agree,Neutral,Disagree,Strongly disagree,Strongly agree,Neutral,Agree,Agree,Agree,Agree,Disagree,Disagree,Diagnostic radiology,1,2,3,4,3,No,Agree,Agree,Agree,No,,
Female,Iraq,Governnmental,Urban,2,4,2,2,1,No,No,None of the above,TRUE,I don't know,I don't know,I don't know,Agree,Agree,Neutral,Neutral,Neutral,Disagree,Neutral,Agree,Strongly agree,Neutral,Agree,Agree,Neutral,Surgery,5,4,4,2,4,Unsure,Neutral,Neutral,Agree,No,,
Female,Libya,Governnmental,Rural,4,2,2,1,1,No,No,None of the above,TRUE,I don't know,TRUE,FALSE,Strongly agree,Strongly agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Neutral,Strongly agree,Strongly agree,Neutral,Diagnostic radiology,5,5,3,2,3,Yes,Strongly agree,Neutral,Neutral,Yes,No,3
Female,Iraq,Governnmental,Urban,1,3,1,1,1,No,No,None of the above,I don't know,I don't know,I don't know,I don't know,Strongly agree,Strongly agree,Neutral,Neutral,Disagree,Disagree,Agree,Agree,Neutral,Disagree,Agree,Agree,Disagree,Diagnostic radiology,3,5,5,5,5,Yes,Strongly agree,Agree,Agree,No,,
Female,Egypt,Governnmental,Urban,4,1,3,3,3,No,No,None of the above,I don't know,FALSE,TRUE,FALSE,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Diagnostic radiology,5,3,3,3,4,Unsure,Agree,Agree,Agree,No,,
Female,Iraq,Governnmental,Urban,2,4,2,2,4,No,No,None of the above,FALSE,FALSE,TRUE,TRUE,Strongly agree,Strongly agree,Disagree,Disagree,Disagree,Neutral,Strongly disagree,Neutral,Strongly agree,Neutral,Agree,Strongly agree,Neutral,Oncology,5,4,2,2,1,Yes,Agree,Agree,Agree,No,,
Female,Iraq,Governnmental,Urban,2,3,3,3,3,Yes,Yes,None of the above,I don't know,I don't know,I don't know,I don't know,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Oncology,3,3,3,3,3,Yes,Agree,Agree,Agree,No,,
Female,Iraq,Governnmental,Urban,2,2,4,3,2,No,No,Courses on artificial intelligence / machine learning,I don't know,I don't know,I don't know,I don't know,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Diagnostic radiology,5,4,4,4,4,Unsure,Neutral,Neutral,Neutral,No,,
Female,Libya,Governnmental,Rural,4,5,3,3,3,No,No,None of the above,I don't know,I don't know,I don't know,I don't know,Strongly agree,Strongly agree,Neutral,Disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Surgery,5,5,5,5,5,Unsure,Strongly agree,Strongly agree,Strongly agree,No,,
Female,Jordan,Governnmental,Urban,1,3,4,3,2,No,No,None of the above,I don't know,FALSE,TRUE,FALSE,Strongly agree,Agree,Disagree,Disagree,Strongly disagree,Neutral,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly disagree,Oncology,4,5,5,4,5,Yes,Agree,Agree,Neutral,No,,
Male,Iraq,Governnmental,Rural,2,1,2,1,1,No,Yes,None of the above,I don't know,TRUE,TRUE,I don't know,Neutral,Agree,Disagree,Disagree,Strongly disagree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Diagnostic radiology,4,3,3,3,4,Unsure,Agree,Neutral,Neutral,No,,
Female,Jordan,Governnmental,Urban,1,3,1,2,2,No,No,None of the above,I don't know,I don't know,I don't know,I don't know,Agree,Agree,Disagree,Disagree,Disagree,Strongly agree,Neutral,Neutral,Agree,Disagree,Agree,Agree,Neutral,Dermatology,4,4,3,2,3,Yes,Agree,Agree,Agree,No,,
Male,Jordan,Governnmental,Rural,1,3,4,2,3,No,No,None of the above,I don't know,I don't know,I don't know,I don't know,Agree,Agree,Neutral,Disagree,Disagree,Disagree,Neutral,Agree,Disagree,Agree,Agree,Agree,Neutral,Surgery,4,4,4,4,4,Yes,Agree,Agree,Agree,No,,
Female,Iraq,Governnmental,Urban,2,3,4,4,2,No,No,None of the above,I don't know,I don't know,I don't know,TRUE,Neutral,Agree,Disagree,Disagree,Disagree,Strongly agree,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Strongly agree,Oncology,5,5,5,5,5,No,Neutral,Neutral,Neutral,No,,
Female,Jordan,Governnmental,Urban,1,2,1,1,1,Yes,No,None of the above,I don't know,TRUE,TRUE,FALSE,Strongly agree,Strongly agree,Neutral,Neutral,Disagree,Agree,Neutral,Strongly agree,Agree,Neutral,Strongly agree,Strongly agree,Neutral,Oncology,1,1,3,2,2,Yes,Strongly agree,Strongly agree,Agree,No,,
Female,Jordan,Governnmental,Urban,1,3,3,3,3,Yes,No,None of the above,TRUE,FALSE,I don't know,FALSE,Strongly agree,Agree,Neutral,Strongly disagree,Strongly disagree,Strongly agree,Neutral,Neutral,Neutral,Disagree,Agree,Strongly agree,Disagree,Surgery,5,5,3,3,4,No,Agree,Neutral,Neutral,No,,
Female,Libya,Governnmental,Rural,4,3,2,2,2,No,No,Courses on artificial intelligence / machine learning,TRUE,TRUE,FALSE,TRUE,Neutral,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Strongly agree,Agree,Internal medicine,4,3,5,5,4,Yes,Agree,Agree,Agree,Yes,Yes,4
Female,Libya,Governnmental,Rural,4,2,1,1,1,No,No,None of the above,FALSE,I don't know,I don't know,TRUE,Neutral,Agree,Neutral,Disagree,Strongly disagree,Strongly agree,Neutral,Neutral,Strongly agree,Neutral,Neutral,Strongly agree,Neutral,Diagnostic radiology,3,2,1,2,1,Unsure,Agree,Agree,Agree,No,,
Female,Iraq,Governnmental,Urban,1,3,1,1,1,No,No,None of the above,I don't know,I don't know,I don't know,I don't know,Strongly agree,Strongly agree,Neutral,Neutral,Neutral,Strongly disagree,Neutral,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Neutral,Surgery,5,5,3,3,3,Yes,Strongly agree,Strongly agree,Strongly agree,No,,
Female,Iraq,Governnmental,Urban,1,3,3,2,2,No,No,None of the above,FALSE,FALSE,TRUE,TRUE,Agree,Agree,Disagree,Disagree,Strongly disagree,Neutral,Disagree,Agree,Agree,Neutral,Agree,Agree,Agree,Diagnostic radiology,5,5,4,3,3,Yes,Agree,Agree,Agree,No,,
Female,Iraq,Governnmental,Rural,1,1,2,2,4,No,No,None of the above,I don't know,I don't know,I don't know,I don't know,Agree,Neutral,Neutral,Neutral,Disagree,Strongly agree,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Diagnostic radiology,4,3,3,3,3,Unsure,Strongly agree,Strongly agree,Strongly agree,No,,
Female,Iraq,Governnmental,Urban,1,2,3,2,2,No,No,Courses on artificial intelligence / machine learning,I don't know,I don't know,I don't know,I don't know,Strongly agree,Strongly agree,Neutral,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Diagnostic radiology,5,5,5,5,5,Yes,Strongly agree,Agree,Neutral,No,,
Female,Iraq,Governnmental,Urban,1,2,3,3,2,Yes,No,None of the above,I don't know,I don't know,I don't know,TRUE,Strongly agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Neutral,Family practice,4,4,3,5,5,Unsure,Agree,Agree,Agree,No,,
Female,Iraq,Governnmental,Urban,1,4,4,5,5,No,No,None of the above,I don't know,I don't know,I don't know,TRUE,Agree,Strongly agree,Neutral,Strongly disagree,Strongly disagree,Neutral,Strongly agree,Disagree,Disagree,Agree,Strongly agree,Strongly agree,Disagree,Oncology,5,5,5,4,1,Yes,Strongly agree,Strongly agree,Agree,No,,
Female,Iraq,Governnmental,Urban,1,3,3,2,2,No,No,None of the above,TRUE,FALSE,TRUE,TRUE,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Disagree,Agree,Disagree,Neutral,Agree,Agree,Diagnostic radiology,2,4,4,3,3,Unsure,Agree,Agree,Neutral,No,,
Male,Iraq,Governnmental,Urban,1,4,3,3,2,Yes,No,None of the above,I don't know,I don't know,I don't know,I don't know,Strongly agree,Strongly agree,Disagree,Disagree,Strongly disagree,Agree,Strongly agree,Agree,Agree,Neutral,Agree,Agree,Agree,Surgery,5,4,4,4,4,Unsure,Agree,Disagree,Neutral,No,,
Female,Jordan,Governnmental,Urban,1,3,1,2,2,Yes,No,"Courses on artificial intelligence / machine learning, Clinical research involving artificial intelligence",TRUE,I don't know,TRUE,TRUE,Strongly agree,Strongly agree,Neutral,Neutral,Disagree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Pathology,3,3,3,3,3,Yes,Agree,Neutral,Agree,No,,
Female,Iraq,Governnmental,Urban,1,1,1,1,1,No,No,None of the above,I don't know,I don't know,I don't know,I don't know,Agree,Agree,Neutral,Disagree,Strongly disagree,Neutral,Neutral,Neutral,Strongly agree,Neutral,Agree,Disagree,Neutral,Diagnostic radiology,4,3,3,3,1,Yes,Neutral,Neutral,Neutral,No,,
Male,Iraq,Governnmental,Rural,1,1,1,2,1,No,No,"Courses on artificial intelligence / machine learning, Computer science projects involving artificial intelligence, Clinical research involving artificial intelligence",FALSE,I don't know,FALSE,TRUE,Neutral,Agree,Disagree,Disagree,Agree,Neutral,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Diagnostic radiology,3,4,3,4,4,Yes,Neutral,Agree,Agree,No,,
Female,Iraq,Governnmental,Urban,1,3,2,1,2,No,No,None of the above,I don't know,I don't know,I don't know,I don't know,Agree,Agree,Neutral,Disagree,Disagree,Disagree,Agree,Agree,Strongly agree,Neutral,Agree,Strongly agree,Disagree,Internal medicine,5,5,5,5,5,Yes,Strongly agree,Agree,Agree,No,,
Female,Libya,Governnmental,Urban,4,3,3,2,1,No,No,None of the above,I don't know,TRUE,TRUE,TRUE,Agree,Agree,Disagree,Disagree,Disagree,Neutral,Agree,Agree,Disagree,Neutral,Agree,Agree,Neutral,Diagnostic radiology,5,5,3,3,3,Unsure,Strongly agree,Strongly agree,Strongly agree,No,,
Female,Jordan,Governnmental,Urban,1,3,1,1,1,No,No,None of the above,I don't know,I don't know,I don't know,I don't know,Agree,Agree,Disagree,Neutral,Strongly disagree,Neutral,Neutral,Neutral,Strongly agree,Agree,Agree,Agree,Neutral,Diagnostic radiology,4,4,3,4,3,Unsure,Strongly agree,Strongly agree,Strongly agree,No,,
Female,Iraq,Governnmental,Urban,2,3,4,3,3,No,No,Clinical research involving artificial intelligence,TRUE,FALSE,I don't know,I don't know,Agree,Agree,Neutral,Strongly disagree,Strongly disagree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Surgery,4,4,5,4,3,Unsure,Neutral,Neutral,Neutral,No,,
Male,Egypt,Governnmental,Rural,5,4,2,2,2,No,No,None of the above,I don't know,I don't know,I don't know,I don't know,Strongly agree,Strongly agree,Neutral,Disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Agree,Agree,Oncology,2,1,1,1,1,No,Strongly agree,Strongly agree,Agree,No,,
Female,Libya,Governnmental,Urban,3,3,3,4,3,Yes,No,None of the above,I don't know,I don't know,I don't know,I don't know,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Surgery,5,5,4,3,3,Yes,Neutral,Neutral,Strongly agree,No,,
Female,Iraq,Governnmental,Urban,1,2,1,2,3,Yes,No,None of the above,I don't know,I don't know,TRUE,TRUE,Agree,Strongly agree,Neutral,Disagree,Disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Neutral,Diagnostic radiology,5,5,4,3,3,Yes,Strongly agree,Agree,Disagree,No,,
Female,Iraq,Governnmental,Urban,1,3,4,4,4,No,No,None of the above,I don't know,I don't know,I don't know,I don't know,Strongly agree,Strongly agree,Disagree,Strongly disagree,Strongly disagree,Disagree,Agree,Agree,Strongly agree,Disagree,Agree,Agree,Disagree,Diagnostic radiology,5,5,5,5,2,Yes,Strongly agree,Strongly agree,Disagree,No,,
Male,Iraq,Governnmental,Urban,1,3,2,1,1,No,Yes,None of the above,I don't know,I don't know,I don't know,I don't know,Strongly agree,Strongly agree,Neutral,Neutral,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Diagnostic radiology,5,4,5,5,5,Unsure,Neutral,Neutral,Neutral,No,,
Female,Iraq,Governnmental,Urban,1,1,1,2,1,No,No,None of the above,I don't know,I don't know,I don't know,I don't know,Strongly agree,Agree,Neutral,Strongly disagree,Strongly disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Agree,Diagnostic radiology,5,5,5,5,5,Unsure,Agree,Disagree,Disagree,No,,
Male,Iraq,Governnmental,Urban,1,3,1,1,1,No,No,"Courses on artificial intelligence / machine learning, Clinical research involving artificial intelligence",I don't know,I don't know,I don't know,I don't know,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Oncology,3,4,3,3,3,Unsure,Agree,Agree,Agree,No,,
Female,Libya,Governnmental,Urban,6,5,4,5,4,No,Yes,"Courses on artificial intelligence / machine learning, Computer science projects involving artificial intelligence",TRUE,FALSE,FALSE,TRUE,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Surgery,5,5,5,5,5,Yes,Strongly disagree,Strongly disagree,Strongly disagree,No,,
Male,Iraq,Governnmental,Urban,1,3,1,2,2,No,Yes,None of the above,I don't know,I don't know,I don't know,I don't know,Strongly agree,Strongly agree,Neutral,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Neutral,Surgery,4,4,3,3,4,Yes,Agree,Agree,Agree,No,,
Female,Iraq,Governnmental,Urban,1,1,2,1,1,No,No,None of the above,I don't know,I don't know,I don't know,I don't know,Strongly agree,Strongly agree,Neutral,Disagree,Strongly disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Strongly agree,Pathology,5,5,5,5,5,Yes,Agree,Agree,Agree,No,,
Female,Iraq,Governnmental,Urban,2,2,2,2,2,No,No,None of the above,I don't know,I don't know,I don't know,I don't know,Strongly agree,Strongly agree,Neutral,Neutral,Agree,Strongly agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Diagnostic radiology,5,4,3,3,3,Unsure,Neutral,Neutral,Neutral,No,,
Female,Iraq,Governnmental,Urban,2,3,1,1,1,Yes,No,None of the above,I don't know,I don't know,I don't know,I don't know,Agree,Strongly agree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Agree,Strongly disagree,Oncology,4,3,3,1,3,Yes,Strongly agree,Disagree,Agree,No,,
Female,Iraq,Private,Urban,1,2,1,1,1,No,No,None of the above,I don't know,I don't know,I don't know,I don't know,Agree,Agree,Neutral,Disagree,Strongly disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Surgery,5,5,4,4,4,Unsure,Neutral,Neutral,Neutral,No,,
Female,Iraq,Governnmental,Rural,1,1,1,1,1,No,No,None of the above,I don't know,I don't know,I don't know,I don't know,Neutral,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Diagnostic radiology,1,1,5,5,1,No,Strongly agree,Strongly agree,Strongly agree,No,,
Female,Iraq,Governnmental,Urban,2,3,2,1,3,Yes,Yes,None of the above,TRUE,FALSE,TRUE,TRUE,Strongly agree,Strongly agree,Disagree,Disagree,Disagree,Disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Internal medicine,5,5,3,3,3,Yes,Agree,Agree,Agree,No,,
Female,Iraq,Governnmental,Urban,2,1,1,1,1,No,No,None of the above,I don't know,I don't know,I don't know,I don't know,Agree,Strongly agree,Neutral,Disagree,Disagree,Neutral,Agree,Agree,Agree,Neutral,Neutral,Agree,Disagree,Diagnostic radiology,5,4,3,3,3,Yes,Disagree,Disagree,Agree,No,,
Female,Iraq,Governnmental,Urban,1,2,2,1,2,No,No,None of the above,I don't know,I don't know,I don't know,I don't know,Agree,Agree,Neutral,Neutral,Neutral,Strongly agree,Disagree,Strongly agree,Strongly agree,Neutral,Neutral,Strongly agree,Strongly agree,Diagnostic radiology,5,5,3,3,5,Unsure,Neutral,Agree,Neutral,No,,
Female,Iraq,Governnmental,Urban,2,2,2,1,1,Yes,No,None of the above,TRUE,I don't know,TRUE,I don't know,Agree,Agree,Disagree,Strongly disagree,Strongly disagree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Diagnostic radiology,4,4,4,4,4,Unsure,Agree,Agree,Neutral,No,,
Male,Iraq,Governnmental,Urban,2,2,2,2,1,Yes,No,None of the above,I don't know,I don't know,FALSE,FALSE,Strongly agree,Agree,Neutral,Strongly disagree,Strongly disagree,Disagree,Agree,Neutral,Strongly agree,Agree,Neutral,Neutral,Disagree,Pathology,4,3,2,3,3,Yes,Neutral,Agree,Disagree,No,,
Female,Iraq,Governnmental,Urban,1,5,5,5,3,Yes,No,Clinical research involving artificial intelligence,TRUE,FALSE,TRUE,TRUE,Agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Agree,Strongly agree,Strongly agree,Disagree,Neutral,Strongly agree,Disagree,Oncology,5,5,5,5,5,Yes,Agree,Agree,Strongly disagree,No,,
Female,Iraq,Governnmental,Urban,4,1,1,1,1,No,No,None of the above,I don't know,I don't know,I don't know,I don't know,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Surgery,5,5,5,1,1,Unsure,Neutral,Neutral,Neutral,No,,
Female,Iraq,Governnmental,Urban,1,4,2,1,1,Yes,No,None of the above,TRUE,FALSE,TRUE,I don't know,Agree,Agree,Disagree,Strongly disagree,Disagree,Neutral,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Neutral,Agree,Oncology,4,5,3,3,2,Yes,Strongly agree,Strongly agree,Strongly agree,No,,
Female,Iraq,Governnmental,Rural,1,1,1,1,3,No,No,None of the above,TRUE,FALSE,TRUE,TRUE,Agree,Agree,Agree,Neutral,Strongly disagree,Agree,Neutral,Agree,Strongly agree,Agree,Agree,Strongly agree,Neutral,Diagnostic radiology,3,3,3,3,3,No,Agree,Agree,Agree,No,,
Female,Iraq,Governnmental,Urban,1,3,2,2,2,No,No,None of the above,I don't know,I don't know,I don't know,I don't know,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Oncology,5,4,5,5,5,Unsure,Agree,Agree,Agree,No,,
Male,Iraq,Governnmental,Urban,3,3,1,1,1,No,No,None of the above,I don't know,I don't know,I don't know,I don't know,Strongly agree,Strongly agree,Neutral,Neutral,Strongly disagree,Disagree,Neutral,Neutral,Strongly agree,Agree,Neutral,Strongly agree,Neutral,Diagnostic radiology,5,5,5,5,4,Yes,Strongly agree,Strongly agree,Strongly agree,No,,
Female,Iraq,Governnmental,Urban,2,1,1,1,1,No,No,None of the above,I don't know,I don't know,I don't know,I don't know,Neutral,Neutral,Disagree,Disagree,Disagree,Strongly agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly agree,Other,5,3,1,2,1,Unsure,Disagree,Disagree,Disagree,No,,
Female,Iraq,Governnmental,Rural,2,1,1,1,2,No,No,None of the above,I don't know,I don't know,TRUE,TRUE,Strongly agree,Neutral,Disagree,Disagree,Strongly disagree,Neutral,Agree,Agree,Agree,Disagree,Neutral,Agree,Strongly disagree,Diagnostic radiology,5,5,5,4,5,Unsure,Neutral,Agree,Agree,No,,
Female,Iraq,Governnmental,Urban,3,2,3,3,3,No,No,None of the above,I don't know,I don't know,TRUE,TRUE,Agree,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Agree,Diagnostic radiology,4,3,3,3,3,Yes,Strongly agree,Agree,Agree,No,,
Female,Libya,Governnmental,Urban,6,3,3,3,3,No,No,None of the above,I don't know,I don't know,I don't know,I don't know,Disagree,Neutral,Disagree,Disagree,Disagree,Neutral,Disagree,Neutral,Neutral,Disagree,Disagree,Neutral,Disagree,Family practice,2,2,2,2,2,Unsure,Disagree,Disagree,Disagree,No,,
Female,Iraq,Governnmental,Urban,6,3,1,1,1,No,No,None of the above,I don't know,I don't know,I don't know,I don't know,Agree,Agree,Neutral,Neutral,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Diagnostic radiology,4,4,4,4,4,Yes,Agree,Neutral,Neutral,No,,
