"","X6.I.consider.myself.a.tech.savvy..well.informed.about.or.proficient.in.the.use.of.modern.technology..especially.computers.","X7.I.have.an.understanding.of.the.basic.computational.principles.of.artificial.intelligence..AI.","X8.I.am.comfortable.with.the.nomenclature.related.to.artificial.intelligence","X9.I.have.an.understanding.of.the.limitations.of.artificial.intelligence","X10.Deep.Learning..and..Artificial.Intelligence..are.currently.being.broadly.discussed.in.the.radiological.community...Were.you.already.aware.of.these.topics.in.radiology..","X11.Deep.Learning..and..Artificial.Intelligence..are.currently.being.broadly.discussed.in.the.radiological.community...Do.you.personally.have.a.basic.understanding.of.the.technologies.used.in.these.topics..","X13.The.following.questions.test.your.understanding.of.deep.learning..a.subtype.of.artificial.intelligence....Deep.learning.is.a.class.of.machine.learning.algorithms.that.use.multiple.layers.of.neural.networks..","X14.The.following.questions.test.your.understanding.of.deep.learning..a.subtype.of.artificial.intelligence....Deep.learning.methods.learn.directly.from.data..without.the.need.for.manual.feature.extraction..","X15.The.following.questions.test.your.understanding.of.deep.learning..a.subtype.of.artificial.intelligence....Application.of.deep.learning.in.radiology.requires.large.databases.of.labeled.medical.images..","X16.The.following.questions.test.your.understanding.of.deep.learning..a.subtype.of.artificial.intelligence....Deep.learning.systems.are.often.opaque..it.can.be.difficult.to.delineate.the.underlying..thought.process...","X17.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...Artificial.intelligence.will.revolutionize.radiology.","X18.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...Artificial.intelligence.will.revolutionize.medicine.in.general.","X19.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...The.human.radiologist.will.be.replaced.in.the.foreseeable.future.","X20.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...The.human..non.interventional..physician.will.be.replaced.in.the.foreseeable.future.","X21.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...In.the.foreseeable.future..all.physicians.will.be.replaced.","X22.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...These.developments.frighten.me.","X23.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...These.developments.make.radiology.more.exciting.to.me.","X24.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...These.developments.make.medicine.in.general.more.exciting.to.me.","X25.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...Artificial.intelligence.will.never.make.the.human.physician.expendable.","X26.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...The.impact.of.artificial.intelligence.alone.will.reduce.the.number.of.radiologists.that.are.needed..","X27.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...Artificial.intelligence.will.improve.radiology.","X28.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...Artificial.intelligence.will.improve.medicine.in.general.","X29.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...I.am.less.likely.to.consider.a.career.in.radiology..given.the.advancement.of.AI.","X30.Which.of.these.specialties.do.you.think.will.be.impacted.the.earliest.and.most.","X31.All.medical.students.should.receive.teaching.in.artificial.intelligence","X32.Teaching.in.artificial.intelligence.will.be.beneficial.for.my.career","X33.At.the.end.of.my.medical.degree..I.will.be.confident.in.using.basic.healthcare.AI.tools.if.required","X34.At.the.end.of.my.medical.degree..I.will.have.a.better.understanding.of.the.methods.used.to.assess.healthcare.AI.algorithm.performance","X35.Overall..at.the.end.of.my.medical.degree..I.feel.I.will.possess.the.knowledge.needed.to.work.with.AI.in.routine.clinical.practice","X36.Would.you.consider.using.the.following.clinical.workflow..Patients..clinical.images.undergo.artificial.intelligence.analysis..A.specialist.subsequently.reviews.both.the.image.and.the.artificial.intelligence.findings.","X37.What.potential.applications.for.AI.in.radiology.do.you.see...Automated.detection.of.pathologies.in.imaging.exams.","X38.What.potential.applications.for.AI.in.radiology.do.you.see...Automated.diagnosis.in.imaging.exams.","X39.What.potential.applications.for.AI.in.radiology.do.you.see...Automated.indication.of.appropriate.imaging.exams."
"3207","A/SA","D/SD","N","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","N","D/SD","D/SD","N","N","N","A/SA","N","A/SA","A/SA","N","I don't know","D/SD","A/SA","A/SA","N","A/SA","Unsure","A/SA","A/SA","A/SA"
"3208","N","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","TRUE","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","A/SA","A/SA","N","A/SA","D/SD","A/SA","A/SA","D/SD","I don't know","A/SA","D/SD","D/SD","D/SD","D/SD","Yes","A/SA","D/SD","A/SA"
"3209","N","D/SD","D/SD","D/SD","Yes","No","I don't know","I don't know","TRUE","FALSE","A/SA","A/SA","N","N","N","N","A/SA","A/SA","A/SA","N","A/SA","A/SA","N","I don't know","A/SA","A/SA","A/SA","A/SA","N","Yes","A/SA","A/SA","A/SA"
"3210","N","A/SA","N","N","No","No","TRUE","TRUE","TRUE","TRUE","A/SA","A/SA","A/SA","A/SA","N","N","N","A/SA","A/SA","N","A/SA","A/SA","A/SA","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","Unsure","N","N","A/SA"
"3211","D/SD","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","N","A/SA","D/SD","D/SD","D/SD","N","N","N","A/SA","N","A/SA","A/SA","D/SD","I don't know","N","A/SA","N","N","N","Unsure","A/SA","N","A/SA"
"3212","D/SD","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","N","D/SD","D/SD","D/SD","A/SA","A/SA","A/SA","N","N","A/SA","D/SD","I don't know","N","N","N","N","N","No","D/SD","D/SD","N"
"3213","A/SA","N","A/SA","N","No","No","TRUE","I don't know","TRUE","TRUE","N","N","D/SD","D/SD","D/SD","N","A/SA","A/SA","A/SA","D/SD","A/SA","A/SA","N","I don't know","N","N","A/SA","D/SD","A/SA","Yes","N","D/SD","N"
"3214","N","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","D/SD","N","A/SA","A/SA","D/SD","A/SA","A/SA","D/SD","I don't know","A/SA","A/SA","A/SA","N","A/SA","Unsure","D/SD","D/SD","A/SA"
"3215","A/SA","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","N","N","D/SD","A/SA","A/SA","A/SA","A/SA","N","A/SA","A/SA","N","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","Yes","A/SA","A/SA","A/SA"
"3216","N","A/SA","D/SD","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","A/SA","D/SD","D/SD","D/SD","N","D/SD","A/SA","D/SD","I don't know","A/SA","A/SA","N","D/SD","D/SD","Unsure","N","N","N"
"3217","D/SD","D/SD","D/SD","D/SD","No","No","TRUE","TRUE","TRUE","TRUE","A/SA","A/SA","N","N","D/SD","N","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","Yes","A/SA","A/SA","A/SA"
"3218","D/SD","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","N","D/SD","D/SD","N","N","N","A/SA","A/SA","N","A/SA","D/SD","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","Yes","A/SA","A/SA","D/SD"
"3219","N","D/SD","D/SD","D/SD","Yes","No","I don't know","I don't know","TRUE","I don't know","A/SA","A/SA","N","N","D/SD","D/SD","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","N","I don't know","A/SA","A/SA","A/SA","N","N","Yes","A/SA","A/SA","A/SA"
"3220","N","D/SD","D/SD","D/SD","Yes","No","TRUE","I don't know","TRUE","TRUE","A/SA","A/SA","N","D/SD","D/SD","A/SA","D/SD","D/SD","N","A/SA","A/SA","A/SA","A/SA","I don't know","A/SA","A/SA","N","N","N","Yes","A/SA","A/SA","A/SA"
"3221","A/SA","A/SA","A/SA","N","Yes","Yes","TRUE","TRUE","TRUE","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","D/SD","A/SA","A/SA","A/SA","D/SD","A/SA","A/SA","D/SD","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","Yes","A/SA","N","A/SA"
"3222","A/SA","N","D/SD","D/SD","No","No","TRUE","I don't know","TRUE","I don't know","N","N","N","N","N","N","N","N","N","N","N","N","N","I don't know","A/SA","N","D/SD","D/SD","D/SD","Unsure","N","N","N"
"3223","N","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","A/SA","A/SA","N","D/SD","A/SA","A/SA","D/SD","N","A/SA","A/SA","D/SD","I don't know","A/SA","D/SD","D/SD","D/SD","D/SD","Unsure","A/SA","N","N"
"3224","D/SD","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","N","A/SA","D/SD","D/SD","D/SD","N","N","D/SD","A/SA","A/SA","N","A/SA","N","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","Yes","A/SA","A/SA","A/SA"
"3225","N","D/SD","D/SD","D/SD","Yes","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","I don't know","D/SD","D/SD","D/SD","D/SD","D/SD","Unsure","A/SA","A/SA","A/SA"
"3226","A/SA","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","N","N","N","N","N","N","N","N","N","N","N","N","N","I don't know","D/SD","N","N","D/SD","D/SD","Unsure","N","N","N"
"3227","D/SD","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","N","N","N","D/SD","D/SD","N","D/SD","N","A/SA","N","N","N","D/SD","I don't know","N","A/SA","A/SA","D/SD","N","Yes","A/SA","A/SA","A/SA"
"3228","D/SD","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","I don't know","TRUE","A/SA","A/SA","D/SD","D/SD","D/SD","A/SA","D/SD","D/SD","A/SA","N","N","A/SA","N","I don't know","A/SA","A/SA","A/SA","D/SD","D/SD","Yes","A/SA","A/SA","A/SA"
"3229","A/SA","A/SA","A/SA","A/SA","No","No","I don't know","I don't know","I don't know","TRUE","A/SA","A/SA","N","D/SD","D/SD","D/SD","A/SA","A/SA","N","D/SD","A/SA","A/SA","D/SD","I don't know","N","N","A/SA","N","N","Yes","A/SA","A/SA","A/SA"
"3230","A/SA","A/SA","A/SA","A/SA","No","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","I don't know","A/SA","A/SA","D/SD","D/SD","A/SA","Yes","A/SA","A/SA","A/SA"
"3231","A/SA","D/SD","D/SD","D/SD","No","No","TRUE","I don't know","TRUE","TRUE","D/SD","N","D/SD","D/SD","D/SD","D/SD","D/SD","D/SD","A/SA","A/SA","A/SA","A/SA","D/SD","I don't know","A/SA","A/SA","A/SA","D/SD","A/SA","Yes","N","N","N"
"3232","D/SD","N","D/SD","D/SD","Yes","No","I don't know","I don't know","I don't know","TRUE","N","N","A/SA","N","D/SD","D/SD","N","N","N","N","N","A/SA","N","I don't know","D/SD","D/SD","N","D/SD","D/SD","Unsure","A/SA","A/SA","N"
"3233","N","A/SA","N","A/SA","Yes","Yes","I don't know","I don't know","I don't know","I don't know","A/SA","N","D/SD","D/SD","D/SD","N","A/SA","N","A/SA","D/SD","A/SA","A/SA","D/SD","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","Unsure","D/SD","D/SD","D/SD"
"3234","A/SA","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","A/SA","D/SD","D/SD","D/SD","D/SD","A/SA","A/SA","A/SA","D/SD","A/SA","A/SA","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","Yes","N","A/SA","N"
"3235","N","N","A/SA","A/SA","No","No","TRUE","TRUE","TRUE","FALSE","A/SA","D/SD","A/SA","A/SA","D/SD","A/SA","N","D/SD","A/SA","A/SA","A/SA","A/SA","A/SA","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","Yes","A/SA","A/SA","A/SA"
"3236","N","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","N","N","N","A/SA","A/SA","A/SA","N","N","A/SA","A/SA","D/SD","I don't know","A/SA","N","A/SA","A/SA","A/SA","Yes","A/SA","A/SA","A/SA"
"3237","N","D/SD","D/SD","D/SD","No","No","TRUE","FALSE","I don't know","TRUE","N","N","D/SD","D/SD","D/SD","N","A/SA","A/SA","A/SA","A/SA","N","N","D/SD","I don't know","D/SD","D/SD","D/SD","D/SD","D/SD","Yes","A/SA","A/SA","A/SA"
"3238","A/SA","N","N","N","No","No","TRUE","TRUE","I don't know","TRUE","A/SA","A/SA","N","N","D/SD","N","A/SA","A/SA","A/SA","D/SD","D/SD","D/SD","D/SD","I don't know","A/SA","A/SA","N","N","N","Yes","N","N","A/SA"
"3239","A/SA","A/SA","A/SA","A/SA","No","No","TRUE","I don't know","TRUE","I don't know","A/SA","A/SA","N","D/SD","D/SD","N","A/SA","N","A/SA","A/SA","A/SA","A/SA","A/SA","I don't know","A/SA","A/SA","A/SA","N","N","Yes","A/SA","A/SA","A/SA"
"3240","N","D/SD","D/SD","D/SD","Yes","No","TRUE","FALSE","FALSE","TRUE","A/SA","A/SA","N","N","D/SD","D/SD","A/SA","A/SA","N","A/SA","A/SA","A/SA","N","I don't know","A/SA","A/SA","N","A/SA","N","Yes","A/SA","A/SA","N"
"3241","A/SA","N","N","N","No","No","I don't know","I don't know","I don't know","I don't know","N","N","N","N","N","N","N","N","N","N","D/SD","N","D/SD","I don't know","A/SA","A/SA","N","A/SA","A/SA","Unsure","N","A/SA","A/SA"
"3242","N","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","N","D/SD","D/SD","A/SA","A/SA","D/SD","A/SA","N","A/SA","A/SA","D/SD","I don't know","A/SA","A/SA","A/SA","D/SD","D/SD","Yes","A/SA","A/SA","A/SA"
"3243","N","N","D/SD","D/SD","Yes","No","TRUE","TRUE","TRUE","I don't know","A/SA","A/SA","D/SD","N","D/SD","A/SA","N","A/SA","A/SA","A/SA","A/SA","A/SA","D/SD","I don't know","D/SD","D/SD","D/SD","N","N","Yes","A/SA","A/SA","A/SA"
"3244","N","D/SD","N","D/SD","Yes","No","I don't know","I don't know","TRUE","FALSE","A/SA","A/SA","D/SD","D/SD","D/SD","N","A/SA","A/SA","A/SA","D/SD","N","A/SA","N","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","Unsure","N","N","N"
"3245","D/SD","D/SD","D/SD","D/SD","Yes","No","TRUE","I don't know","FALSE","TRUE","A/SA","A/SA","A/SA","D/SD","D/SD","D/SD","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","N","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","Yes","A/SA","N","D/SD"
"3246","A/SA","N","D/SD","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","N","N","A/SA","A/SA","A/SA","D/SD","A/SA","N","I don't know","A/SA","N","D/SD","D/SD","D/SD","Yes","A/SA","N","A/SA"
"3247","N","D/SD","D/SD","D/SD","No","No","TRUE","I don't know","TRUE","FALSE","N","N","N","N","N","N","N","N","N","N","N","N","N","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","Unsure","N","N","N"
"3248","D/SD","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","N","D/SD","D/SD","D/SD","A/SA","A/SA","A/SA","D/SD","A/SA","A/SA","A/SA","I don't know","A/SA","A/SA","A/SA","N","N","Yes","A/SA","A/SA","A/SA"
"3249","N","N","N","D/SD","No","No","TRUE","I don't know","I don't know","I don't know","A/SA","A/SA","N","N","N","A/SA","A/SA","N","N","A/SA","A/SA","A/SA","N","I don't know","D/SD","D/SD","D/SD","N","D/SD","Yes","A/SA","A/SA","A/SA"
"3250","A/SA","N","D/SD","N","No","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","N","D/SD","D/SD","N","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","N","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","Yes","A/SA","A/SA","A/SA"
"3251","N","N","D/SD","N","Yes","Yes","TRUE","FALSE","TRUE","FALSE","A/SA","A/SA","D/SD","D/SD","D/SD","N","A/SA","A/SA","A/SA","D/SD","A/SA","A/SA","D/SD","I don't know","A/SA","A/SA","N","N","N","Yes","A/SA","D/SD","A/SA"
"3252","A/SA","N","N","N","No","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","N","D/SD","D/SD","N","A/SA","A/SA","A/SA","N","A/SA","A/SA","N","I don't know","A/SA","N","N","N","N","Unsure","D/SD","D/SD","N"
"3253","A/SA","D/SD","D/SD","D/SD","Yes","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","D/SD","A/SA","A/SA","N","D/SD","A/SA","A/SA","N","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","Yes","A/SA","A/SA","A/SA"
"3254","D/SD","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","N","N","N","N","A/SA","A/SA","A/SA","N","A/SA","A/SA","D/SD","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","Yes","A/SA","A/SA","A/SA"
"3255","N","N","D/SD","N","Yes","No","FALSE","TRUE","FALSE","FALSE","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","I don't know","D/SD","N","N","D/SD","N","No","A/SA","A/SA","A/SA"
"3256","N","D/SD","D/SD","D/SD","No","No","I don't know","TRUE","TRUE","TRUE","N","N","N","D/SD","D/SD","A/SA","N","A/SA","A/SA","A/SA","A/SA","N","A/SA","I don't know","N","N","N","N","N","Yes","A/SA","A/SA","A/SA"
"3257","A/SA","A/SA","A/SA","A/SA","Yes","No","TRUE","I don't know","TRUE","TRUE","A/SA","A/SA","D/SD","D/SD","D/SD","D/SD","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","D/SD","I don't know","D/SD","D/SD","A/SA","D/SD","A/SA","Yes","A/SA","A/SA","A/SA"
"3258","A/SA","N","D/SD","D/SD","Yes","No","I don't know","TRUE","TRUE","FALSE","A/SA","A/SA","N","D/SD","D/SD","D/SD","A/SA","N","N","D/SD","A/SA","A/SA","D/SD","I don't know","N","N","A/SA","A/SA","A/SA","Yes","N","N","A/SA"
"3259","A/SA","A/SA","A/SA","A/SA","No","Yes","TRUE","TRUE","TRUE","FALSE","A/SA","A/SA","N","D/SD","D/SD","N","A/SA","A/SA","N","A/SA","A/SA","A/SA","N","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","Yes","A/SA","A/SA","A/SA"
"3260","D/SD","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","D/SD","D/SD","D/SD","N","N","N","A/SA","A/SA","I don't know","D/SD","D/SD","D/SD","D/SD","D/SD","No","A/SA","A/SA","A/SA"
"3261","N","D/SD","D/SD","D/SD","No","No","FALSE","FALSE","FALSE","FALSE","D/SD","D/SD","D/SD","D/SD","D/SD","D/SD","D/SD","D/SD","D/SD","D/SD","D/SD","D/SD","D/SD","I don't know","D/SD","D/SD","D/SD","D/SD","D/SD","No","A/SA","A/SA","A/SA"
"3262","A/SA","A/SA","A/SA","A/SA","Yes","Yes","I don't know","FALSE","TRUE","FALSE","N","A/SA","D/SD","D/SD","D/SD","A/SA","A/SA","A/SA","A/SA","D/SD","A/SA","A/SA","D/SD","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","Yes","A/SA","A/SA","A/SA"
"3263","A/SA","N","D/SD","D/SD","No","Yes","TRUE","FALSE","TRUE","FALSE","A/SA","A/SA","D/SD","A/SA","D/SD","D/SD","A/SA","A/SA","A/SA","N","A/SA","A/SA","D/SD","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","Yes","N","A/SA","A/SA"
"3264","D/SD","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","N","N","N","N","N","N","N","N","N","N","N","N","N","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","Yes","A/SA","A/SA","A/SA"
"3265","D/SD","D/SD","N","D/SD","Yes","Yes","TRUE","TRUE","TRUE","I don't know","N","N","A/SA","D/SD","A/SA","D/SD","A/SA","A/SA","N","A/SA","N","D/SD","D/SD","I don't know","D/SD","D/SD","A/SA","D/SD","A/SA","Unsure","D/SD","D/SD","D/SD"
"3266","A/SA","A/SA","A/SA","A/SA","Yes","Yes","TRUE","I don't know","TRUE","TRUE","A/SA","A/SA","N","A/SA","N","D/SD","A/SA","A/SA","N","N","A/SA","A/SA","A/SA","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","Yes","A/SA","N","N"
"3267","A/SA","N","N","N","No","No","TRUE","FALSE","TRUE","FALSE","A/SA","A/SA","N","N","D/SD","N","A/SA","A/SA","N","A/SA","A/SA","A/SA","N","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","Unsure","A/SA","A/SA","A/SA"
"3268","D/SD","N","D/SD","D/SD","No","No","TRUE","FALSE","TRUE","TRUE","N","N","A/SA","A/SA","A/SA","D/SD","A/SA","A/SA","A/SA","D/SD","A/SA","A/SA","D/SD","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","Unsure","A/SA","A/SA","A/SA"
"3269","D/SD","N","D/SD","D/SD","Yes","Yes","TRUE","TRUE","FALSE","FALSE","A/SA","A/SA","A/SA","N","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","I don't know","D/SD","D/SD","N","D/SD","D/SD","Unsure","A/SA","A/SA","A/SA"
"3270","A/SA","N","N","D/SD","Yes","No","I don't know","FALSE","TRUE","TRUE","A/SA","A/SA","A/SA","N","D/SD","A/SA","A/SA","A/SA","N","D/SD","A/SA","N","D/SD","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","Yes","A/SA","D/SD","A/SA"
"3271","A/SA","D/SD","A/SA","N","No","No","TRUE","FALSE","TRUE","TRUE","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","N","A/SA","N","A/SA","A/SA","A/SA","A/SA","I don't know","N","N","D/SD","N","N","Yes","A/SA","A/SA","A/SA"
"3272","A/SA","N","N","N","Yes","Yes","FALSE","FALSE","TRUE","FALSE","N","A/SA","N","A/SA","A/SA","A/SA","A/SA","N","A/SA","A/SA","A/SA","A/SA","A/SA","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","Yes","A/SA","A/SA","A/SA"
"3273","D/SD","D/SD","N","D/SD","Yes","No","TRUE","FALSE","FALSE","FALSE","D/SD","N","N","N","N","N","N","N","N","N","N","N","N","I don't know","D/SD","D/SD","D/SD","N","D/SD","Unsure","A/SA","A/SA","A/SA"
"3274","N","N","N","N","No","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","I don't know","N","A/SA","D/SD","D/SD","D/SD","Yes","A/SA","A/SA","A/SA"
"3275","A/SA","D/SD","D/SD","D/SD","Yes","Yes","TRUE","TRUE","TRUE","TRUE","N","A/SA","D/SD","D/SD","D/SD","N","A/SA","A/SA","A/SA","D/SD","A/SA","A/SA","D/SD","I don't know","N","A/SA","A/SA","A/SA","A/SA","Yes","N","D/SD","A/SA"
"3276","A/SA","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","A/SA","A/SA","A/SA","N","N","A/SA","A/SA","N","I don't know","A/SA","A/SA","N","N","D/SD","Yes","A/SA","A/SA","A/SA"
"3277","D/SD","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","N","D/SD","D/SD","A/SA","A/SA","A/SA","A/SA","A/SA","I don't know","A/SA","N","D/SD","D/SD","N","No","N","A/SA","A/SA"
"3278","A/SA","D/SD","N","D/SD","No","No","I don't know","I don't know","TRUE","I don't know","A/SA","A/SA","N","D/SD","D/SD","N","A/SA","A/SA","A/SA","N","A/SA","A/SA","D/SD","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","Yes","A/SA","N","A/SA"
"3279","N","A/SA","A/SA","A/SA","Yes","Yes","TRUE","FALSE","TRUE","TRUE","A/SA","A/SA","N","N","N","A/SA","A/SA","A/SA","D/SD","A/SA","A/SA","A/SA","D/SD","I don't know","A/SA","A/SA","A/SA","A/SA","N","Unsure","A/SA","A/SA","N"
"3280","A/SA","A/SA","A/SA","A/SA","No","Yes","TRUE","TRUE","TRUE","TRUE","A/SA","A/SA","A/SA","N","A/SA","A/SA","A/SA","A/SA","A/SA","N","A/SA","A/SA","A/SA","I don't know","A/SA","D/SD","N","D/SD","D/SD","Yes","A/SA","A/SA","A/SA"
"3281","N","D/SD","D/SD","D/SD","Yes","Yes","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","A/SA","D/SD","D/SD","A/SA","N","A/SA","A/SA","N","I don't know","A/SA","N","D/SD","D/SD","D/SD","Yes","A/SA","A/SA","N"
"3282","N","D/SD","N","D/SD","Yes","No","I don't know","I don't know","TRUE","I don't know","A/SA","A/SA","N","D/SD","D/SD","N","A/SA","A/SA","A/SA","N","A/SA","A/SA","N","I don't know","N","A/SA","N","N","N","Yes","A/SA","A/SA","A/SA"
"3283","D/SD","D/SD","D/SD","D/SD","No","No","TRUE","FALSE","TRUE","TRUE","A/SA","A/SA","D/SD","D/SD","D/SD","N","A/SA","A/SA","A/SA","D/SD","N","A/SA","D/SD","I don't know","N","D/SD","D/SD","D/SD","D/SD","Yes","A/SA","A/SA","A/SA"
"3284","A/SA","A/SA","N","N","Yes","Yes","TRUE","I don't know","I don't know","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","N","N","A/SA","A/SA","N","I don't know","A/SA","D/SD","A/SA","A/SA","A/SA","Unsure","A/SA","N","A/SA"
"3285","D/SD","D/SD","N","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","D/SD","A/SA","A/SA","A/SA","N","A/SA","A/SA","N","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","Unsure","A/SA","A/SA","A/SA"
"3286","N","A/SA","N","D/SD","No","No","TRUE","TRUE","TRUE","TRUE","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","N","A/SA","A/SA","A/SA","I don't know","N","N","N","N","N","Yes","A/SA","A/SA","A/SA"
"3287","A/SA","A/SA","A/SA","A/SA","Yes","Yes","TRUE","TRUE","FALSE","TRUE","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","Yes","A/SA","A/SA","A/SA"
